case,location,date,year,race,gender,fatalities,injured,total_victims,location,latitude,longitude,type,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,sources,mental_health_sources,sources_additional_age,summary,,,,,,
Isla Vista mass murder,"Santa Barbara, California",5/23/2014,2014,White,Male,6,13,19,School,34.436283,-119.8714406,Mass,22,Yes,"Rodger was never hospitalized due to mental illness, but had a long history of mental health issues dating back to his childhood, and received treatment from multiple counselors leading up to his rampage. According to The Independent, Rodger had considered suicide but had no history of violence. Just before his rampage, he sent a 137N/apage manifesto to multiple people.",Yes,N/a,Three semiN/aautomatic handguns and two hunting knives,"Two Sig Sauer P226 semiautomatic pistols and Glock 34 pistol, and hundreds of rounds of ammo. A 6N/a inchand 8N/ainch “SRK” and “Boar Hunter” hunting knives. ",http://www.sbsheriff.us/documents/ISLAVISTAINVESTIGATIVESUMMARY.pdf Also: http://www.cnn.com/2014/05/24/us/santaN/abarbaraN/aislaN/avistaN/ashootingN/aprofile/ and http://www.cnn.com/2014/05/24/justice/californiaN/ashootingN/adeaths/index.html and http://www.independent.com/news/2015/feb/20/elliotN/arodgerN/areportN/adetailsN/alongN/astruggleN/amentalN/a/ and http://www.cbsnews.com/videos/howN/awasN/aelliotN/arodgerN/aableN/atoN/apurchaseN/aweapons/ and http://www.dailymail.co.uk/news/articleN/a2638922/SantaN/aBarbaraN/arampageN/akillerN/aboughtN/athreeN/ahandgunsN/alegallyN/agunN/ashop.html,N/a,http://www.sbsheriff.us/documents/ISLAVISTAINVESTIGATIVESUMMARY.pdf Also: http://www.cnn.com/2014/05/24/us/santaN/abarbaraN/aislaN/avistaN/ashootingN/aprofile/ and http://www.cnn.com/2014/05/24/justice/californiaN/ashootingN/adeaths/index.html and http://www.independent.com/news/2015/feb/20/elliotN/arodgerN/areportN/adetailsN/alongN/astruggleN/amentalN/a/ and http://www.cbsnews.com/videos/howN/awasN/aelliotN/arodgerN/aableN/atoN/apurchaseN/aweapons/ and http://www.dailymail.co.uk/news/articleN/a2638922/SantaN/aBarbaraN/arampageN/akillerN/aboughtN/athreeN/ahandgunsN/alegallyN/agunN/ashop.html,"Elliot Rodger, 22, shot three people to death in the college town of Isla Vista near the University of California, Santa Barbara. He also shot others as he drove around town, and injured others by striking them with is vehicle. He committed suicide by shooting himself in his car as police closed in. Prior to the rampage, Rodger stabbed three people to death at his apartment.",,,,,,
Fort Hood shooting 2,"Fort Hood, Texas",4/3/2014,2014,Latino,Male,3,12,15,Military,31.141716,-97.777559,Mass,34,Unclear,"Lopez ""had a long history of troubling behavior,"" according to the Washington Post, including a history of decieving others, problems in his personal life, and financial difficulties. However, officials found that Lopez exhibited no signals that he could be violent. In the year leading up to the attack, he sought treatment for medical and behavioral health ailments.","
Yes","Local gun store in Killeen, Guns Galore","handgun
",.45N/acaliber Smith & Wesson handgun,http://www.cnn.com/2014/04/02/us/fortN/ahoodN/ashooting/ and https://www.washingtonpost.com/news/checkpoint/wp/2015/01/23/armyN/adetailsN/atheN/adownwardN/aspiralN/aofN/atheN/afortN/ahoodN/ashooterN/aivanN/alopez/ and http://www.thedailybeast.com/articles/2014/04/03/soldierN/aopensN/afireN/aatN/afortN/ahood.html,N/a,http://www.cnn.com/2014/04/02/us/fortN/ahoodN/ashooting/ and https://www.washingtonpost.com/news/checkpoint/wp/2015/01/23/armyN/adetailsN/atheN/adownwardN/aspiralN/aofN/atheN/afortN/ahoodN/ashooterN/aivanN/alopez/ and http://www.thedailybeast.com/articles/2014/04/03/soldierN/aopensN/afireN/aatN/afortN/ahood.html,"Army Specialist Ivan Lopez, 34, opened fire at the Fort Hood Army Post in Texas, killing three and wounding at least 12 others before shooting himself in the head after engaging with military police. Lt. Gen. Mark A. Milley told reporters that Lopez ""had behavioral health and mental health"" issues.",,,,,,
Alturas tribal shooting,"Alturas, California",2/20/2014,2014,Native American,Female,4,2,6,Other,41.487104,-120.542237,Spree,44,Unknown,N/a,Unknown,N/a,Two handguns and a butcher knife,9mm semiN/aautomatic handgun,http://www.sacbee.com/news/local/crime/article2603350.html; http://www.csmonitor.com/USA/2014/0223/AlturasN/atribalN/ashootingN/aWasN/aembezzlementN/aevictionN/abehindN/afamilyN/arevengeN/avideo; http://www.cbsnews.com/news/4N/adeadN/a2N/ainjuredN/aatN/aamericanN/aindianN/atribalN/aofficeN/ainN/anorthernN/acalifornia/; http://nativenewsonline.net/currents/formerN/atribalN/achairpersonN/acustodyN/amassN/amurderN/acedarvilleN/arancheriaN/atribalN/aheadquarters/,N/a,http://www.sacbee.com/news/local/crime/article2603350.html; http://www.csmonitor.com/USA/2014/0223/AlturasN/atribalN/ashootingN/aWasN/aembezzlementN/aevictionN/abehindN/afamilyN/arevengeN/avideo; http://www.cbsnews.com/news/4N/adeadN/a2N/ainjuredN/aatN/aamericanN/aindianN/atribalN/aofficeN/ainN/anorthernN/acalifornia/; http://nativenewsonline.net/currents/formerN/atribalN/achairpersonN/acustodyN/amassN/amurderN/acedarvilleN/arancheriaN/atribalN/aheadquarters/,"Cherie Lash Rhoades, 44, opened fire at the Cedarville Rancheria Tribal Office and Community Center, killing four and wounding two. After running out of ammunition, Rhoades grabbed a butcher knife and stabbed another person.",,,,,,
Washington Navy Yard shooting,"Washington, D.C.",9/16/2013,2013,Black,Male,12,8,20,Military,38.874981,-76.99453,Mass,34,Yes,"Had told Rhode Island police the prior month that he'd ""heard voices""; had been undergoing mental health treatment with Veterans Affairs since August 2013.",Yes,Sharpshooters Small Arms Range,"SawedN/aoff shotgun, 2 boxes of shells; also a .45N/acaliber handgun taken from a security guard he shot at the scene.",Remington 870 Express 12N/agauge shotgun; Beretta handgun,http://www.nytimes.com/2013/09/18/us/stateN/alawN/astoppedN/agunmanN/afromN/abuyingN/arifleN/aofficialsN/asay.html; http://edition.cnn.com/2013/09/17/us/navyN/ayardN/ashootingN/amilitaryN/acontractors; http://www.fbi.gov/washingtondc/pressN/areleases/2013/lawN/aenforcementN/asharesN/afindingsN/aofN/atheN/ainvestigationN/aintoN/atheN/awashingtonN/anavyN/ayardN/ashootings/index.html,http://bigstory.ap.org/article/13N/akilledN/awashingtonN/anavyN/ayardN/ashootingN/arampage,http://www.nytimes.com/2013/09/18/us/stateN/alawN/astoppedN/agunmanN/afromN/abuyingN/arifleN/aofficialsN/asay.html; http://edition.cnn.com/2013/09/17/us/navyN/ayardN/ashootingN/amilitaryN/acontractors; http://www.fbi.gov/washingtondc/pressN/areleases/2013/lawN/aenforcementN/asharesN/afindingsN/aofN/atheN/ainvestigationN/aintoN/atheN/awashingtonN/anavyN/ayardN/ashootings/index.html,"Aaron Alexis, 34, a military veteran and contractor from Texas, opened fire in the Navy installation, killing 12 people and wounding 8 before being shot dead by police.",,,,,,
Hialeah apartment shooting,"Hialeah, Florida",7/26/2013,2013,Latino,Male,7,0,7,"Other
",25.864338,-80.311775,Mass,42,Unclear,His mother told authorities her son had been acting strangely and needed a psychiatric evaluation.,Yes,Florida Gun Center,9mm semiN/aautomatic handgun,Glock 17,http://www.miamiherald.com/2013/07/27/vN/aprint/3526078/aN/alookN/aatN/atheN/avictimsN/ainN/atheN/ahialeah.html  http://www.cbsnews.com/8301N/a201_162N/a57595796/pedroN/avargasN/aiddN/aasN/agunmanN/abehindN/adeadlyN/arampageN/ainN/ahialeahN/aflorida/    http://www.miamiherald.com/2013/07/28/3528362/littleN/aaboutN/apedroN/avargasN/alife.html,http://www.miamiherald.com/2013/08/03/vN/aprint/3539629/hialeahN/akillerN/ashowedN/asignsN/aof.html,http://www.miamiherald.com/2013/07/27/vN/aprint/3526078/aN/alookN/aatN/atheN/avictimsN/ainN/atheN/ahialeah.html  http://www.cbsnews.com/8301N/a201_162N/a57595796/pedroN/avargasN/aiddN/aasN/agunmanN/abehindN/adeadlyN/arampageN/ainN/ahialeahN/aflorida/    http://www.miamiherald.com/2013/07/28/3528362/littleN/aaboutN/apedroN/avargasN/alife.html,"Pedro Vargas, 42, set fire to his apartment, killed six people in the complex, and held another two hostages at gunpoint before a SWAT team stormed the building and fatally shot him.",,,,,,
Santa Monica rampage,"Santa Monica, California",6/7/2013,2013,White,Male,6,3,9,"Other
",34.008617,-118.494754,Mass,23,Yes,He was known as a solitary teen who regularly ditched class and had an interest in assault weapons; he had been admitted to UCLA's psychiatric ward for a brief period.,Yes ,Assembled a rifle out of component parts.,"Assault rifle, high capacity magazines, antique handgun
",".223N/acaliber semiN/aautomatic assault rifle, about 40 high capacity magazines, ""black powder"" handgun (likely antique)",http://www.cbsnews.com/8301N/a504083_162N/a57589327N/a504083/johnN/azawahriN/asuspectedN/agunmanN/ainN/adeadlyN/asantaN/amonicaN/ashootingN/aleftN/afarewellN/anoteN/apoliceN/asay/,"http://www.cbsnews.com/8301N/a504083_162N/a57589327N/a504083/johnN/azawahriN/asuspectedN/agunmanN/ainN/adeadlyN/asantaN/amonicaN/ashootingN/aleftN/afarewellN/anoteN/apoliceN/asay/   http://www.latimes.com/news/local/laN/ameN/a0611N/asantaN/amonicaN/ashootingN/a20130611,0,1490078.story",http://www.cbsnews.com/8301N/a504083_162N/a57589327N/a504083/johnN/azawahriN/asuspectedN/agunmanN/ainN/adeadlyN/asantaN/amonicaN/ashootingN/aleftN/afarewellN/anoteN/apoliceN/asay/,"John Zawahri, 23, armed with a homemade assault rifle and highN/acapacity magazines, killed his brother and father at home and then headed to Santa Monica College, where he was eventually killed by police.",,,,,,
Pinewood Village Apartment shooting,"Federal Way, Washington",4/21/2013,2013,Black,Male,5,0,5,"Other
",47.3129607,-122.3393665,Mass,27,No,N/a,Yes,Unknown,"Semiautomatic handgun, shotgun",".40 caliber semiN/aautomatic handgun, pistol grip shotgun",http://seattletimes.com/html/localnews/2020836119_federalwayshootingxml.html  ,N/a,http://seattletimes.com/html/localnews/2020836119_federalwayshootingxml.html  ,"Dennis Clark III, 27, shot and killed his girlfriend in their shared apartment, and then shot two witnesses in the building's parking lot and a third victim in another apartment, before being killed by police.",,,,,,
Mohawk Valley shootings,"Herkimer County, New York",3/13/2013,2013,White,Male,5,2,7,Other,43.045601,-74.984891,Mass,64,No,N/a,Yes,"Frank's Guns in Marcy, NY",Shotgun,Unknown,https://www.nyspnews.com/article_display.cfm?article_id=29584,http://poststar.com/news/local/stateN/aandN/aregional/copsN/akillN/asuspectN/ainN/adeadlyN/amohawkN/avalleyN/ashootingN/arampage/article_15260208N/a8bf5N/a11e2N/ab2d9N/a0019bb2963f4.html,https://www.nyspnews.com/article_display.cfm?article_id=29584,"Kurt Myers, 64, shot six people in neighboring towns, killing two in a barbershop and two at a car care business, before being killed by officers in a shootout after a nearly 19N/ahour standoff.",,,,,,
Sandy Hook Elementary massacre,"Newtown, Connecticut",12/14/2012,2012,White,Male,27,2,29,School,41.4123225,-73.31142358,Mass,20,Yes,"Lanza had a history of serious mental health problems that were known to his family and others, as detailed in a postN/amassacre investigation by Connecticut authorities.",No,Stolen from mother,"Two semiautomatic handguns, one rifle (assault), one shotgun (assault)","10mm Glock, 9mm SIG Sauer P226 semiautomatic handguns; .223 Bushmaster XM15N/aE2S semiautomatic rifle; Izhmash SaigaN/a12 12N/agauge semiautomatic shotgun",http://usnews.nbcnews.com/_news/2012/12/14/15911025N/aauthoritiesN/aidN/agunmanN/awhoN/akilledN/a27N/ainN/aelementaryN/aschoolN/amassacre?lite; http://articles.washingtonpost.com/2012N/a12N/a14/local/35846977_1_lawN/aenforcementN/alanzaN/abrothersN/akid,http://usnews.nbcnews.com/_news/2012/12/14/15911025N/aauthoritiesN/aidN/agunmanN/awhoN/akilledN/a27N/ainN/aelementaryN/aschoolN/amassacre?lite; http://articles.washingtonpost.com/2012N/a12N/a14/local/35846977_1_lawN/aenforcementN/alanzaN/abrothersN/akid,http://usnews.nbcnews.com/_news/2012/12/14/15911025N/aauthoritiesN/aidN/agunmanN/awhoN/akilledN/a27N/ainN/aelementaryN/aschoolN/amassacre?lite; http://articles.washingtonpost.com/2012N/a12N/a14/local/35846977_1_lawN/aenforcementN/alanzaN/abrothersN/akid,"Adam Lanza, 20, shot his mother dead at their home then drove to Sandy Hook Elementary school. He forced his way inside and opened fire, killing 20 children and six adults before committing suicide.",,,,,,
Accent Signage Systems shooting,"Minneapolis, Minnesota",9/27/2012,2012,White,Male,7,1,8,Workplace,44.977425,-93.310408,Mass,36,Yes,"His family worried about his ""paranoia and delusions"" for at least two years prior, and tried to get him to seek treatment.",Yes,Unknown,One semiautomatic handgun,9mm Glock semiautomatic handgun,http://www.startribune.com/local/171774461.html?refer=y,http://www.startribune.com/local/171774461.html?refer=y,http://www.startribune.com/local/171774461.html?refer=y,"Andrew Engeldinger, 36, upon learning he was being fired, went on a shooting rampage, killing the business owner, three fellow employees, and a UPS driver. He then killed himself.",,,,,,
Sikh temple shooting,"Oak Creek, Wisconsin",8/5/2012,2012,White,Male,7,3,10,Religious,42.8858503,-87.8631362,Mass,40,Yes,"His Army friends once broke into his apartment, fearing he'd commit suicide in the '90s. A psychiatric nurse who lived downstairs from Page said it was ""obvious"" he had a mental illness.",Yes,Unknown,One semiautomatic handgun,9mm Springfield Armory XDM semiautomatic handgun,http://www.jsonline.com/news/milwaukee/friendN/aofN/apageN/afearedN/awhatN/aheN/amightN/adoN/a426edmgN/a165668826.html; http://usnews.nbcnews.com/_news/2012/09/10/13785426N/aofficerN/aarrivingN/aatN/asikhN/atempleN/ashootingN/atimeN/atoN/auseN/adeadlyN/aforce?lite; http://articles.latimes.com/2012/aug/08/nation/laN/anaN/annN/asikhN/ashootingN/agunsN/a20120807; http://www.bbc.co.uk/news/worldN/ausN/acanadaN/a19183359,http://www.jsonline.com/news/milwaukee/friendN/aofN/apageN/afearedN/awhatN/aheN/amightN/adoN/a426edmgN/a165668826.html,http://www.jsonline.com/news/milwaukee/friendN/aofN/apageN/afearedN/awhatN/aheN/amightN/adoN/a426edmgN/a165668826.html; http://usnews.nbcnews.com/_news/2012/09/10/13785426N/aofficerN/aarrivingN/aatN/asikhN/atempleN/ashootingN/atimeN/atoN/auseN/adeadlyN/aforce?lite; http://articles.latimes.com/2012/aug/08/nation/laN/anaN/annN/asikhN/ashootingN/agunsN/a20120807; http://www.bbc.co.uk/news/worldN/ausN/acanadaN/a19183359,"U.S. Army veteran Wade Michael Page, 40, opened fire in a Sikh gurdwara before he died from a selfN/ainflicted gunshot would during a shootout with police.",,,,,,
Aurora theater shooting,"Aurora, Colorado",7/20/2012,2012,White,Male,12,70,82,Other,39.706038,-104.820594,Spree,24,Yes,He saw at least three mental health professionals before dropping out of his university.,Yes,"Gander Mountain stores in Thornton and Aurora, Colo.; Bass Pro Shop in Denver, Colo.; BulkAmmo.com","Two semiautomatic handguns, one rifle (assault), one shotgun",Two .40N/acaliber Glock semiautomatic handguns; .223N/acaliber Smith & Wesson M&P15 semiautomatic rifle; 12N/agauge Remington 870 pumpN/aaction shotgun,http://www.cbsnews.com/8301N/a201_162N/a57497820/jamesN/aholmesN/asawN/athreeN/amentalN/ahealthN/aprofessionalsN/abeforeN/ashooting/; http://www.9news.com/news/article/283503/188/AuroraN/ashootingN/apromptsN/agunN/abillsN/ainN/abigN/astatesN/a; http://www.nytimes.com/2012/07/21/us/shootingN/aatN/acoloradoN/atheaterN/ashowingN/abatmanN/amovie.html; http://www.motherjones.com/politics/2012/07/batmanN/atheaterN/ashootingN/aupdatesN/adarkN/aknightN/arises,http://www.cbsnews.com/8301N/a201_162N/a57497820/jamesN/aholmesN/asawN/athreeN/amentalN/ahealthN/aprofessionalsN/abeforeN/ashooting/,http://www.cbsnews.com/8301N/a201_162N/a57497820/jamesN/aholmesN/asawN/athreeN/amentalN/ahealthN/aprofessionalsN/abeforeN/ashooting/; http://www.9news.com/news/article/283503/188/AuroraN/ashootingN/apromptsN/agunN/abillsN/ainN/abigN/astatesN/a; http://www.nytimes.com/2012/07/21/us/shootingN/aatN/acoloradoN/atheaterN/ashowingN/abatmanN/amovie.html; http://www.motherjones.com/politics/2012/07/batmanN/atheaterN/ashootingN/aupdatesN/adarkN/aknightN/arises,"James Holmes, 24, opened fire in a movie theater during the opening night of ""The Dark Night Rises"" and was later arrested outside.",,,,,,
Seattle cafe shooting,"Seattle, Washington",5/20/2012,2012,White,Male,6,1,7,Other,47.6038321,-122.3300624,Mass,40,Yes,His family said he was mentally ill,Yes,"Bull's Eye Shooter Supply in Tacoma, Wash.",Two semiautomatic handguns,Two .45N/acaliber semiautomatic handguns,http://usnews.nbcnews.com/_news/2012/05/30/11959312N/asixN/akilledN/ainN/aseattleN/ashootingsN/aincludingN/asuspect?lite; http://www.cbsnews.com/8301N/a201_162N/a57445177/seattleN/ashootingN/aheroN/ahurledN/astoolsN/aatN/agunmanN/aianN/astawickiN/asavedN/athreeN/alives/?pageNum=2&tag=contentMain;contentBody; http://content.usatoday.com/communities/ondeadline/post/2012/05/seattleN/akillerN/ahadN/aconcealedN/acarryN/apermitN/aownedN/a6N/aguns/1#.UFI9shhgspQ,http://usnews.nbcnews.com/_news/2012/05/30/11959312N/asixN/akilledN/ainN/aseattleN/ashootingsN/aincludingN/asuspect?lite,http://usnews.nbcnews.com/_news/2012/05/30/11959312N/asixN/akilledN/ainN/aseattleN/ashootingsN/aincludingN/asuspect?lite; http://www.cbsnews.com/8301N/a201_162N/a57445177/seattleN/ashootingN/aheroN/ahurledN/astoolsN/aatN/agunmanN/aianN/astawickiN/asavedN/athreeN/alives/?pageNum=2&tag=contentMain;contentBody; http://content.usatoday.com/communities/ondeadline/post/2012/05/seattleN/akillerN/ahadN/aconcealedN/acarryN/apermitN/aownedN/a6N/aguns/1#.UFI9shhgspQ,"Ian Stawicki, 40, gunned down four patrons at a cafe, and another person during a carjacking nearby, then shot himself as police closed in. (He died later that day in a Seattle hospital.)",,,,,,
Oikos University killings,"Oakland, California",4/2/2012,2012,Asian,Male,7,3,10,School,37.8043808,-122.2708166,Mass,43,Yes,"A former instructor at Oikos described him as ""mentally unstable"" and ""paranoid.""",Yes,"Bullseye in Castro Valley, Calif.",One semiautomatic handgun,.45N/acaliber semiautomatic handgun,http://blog.sfgate.com/eguillermo/2012/04/05/somethingN/astillN/adoesntN/acomputeN/ainN/atheN/aoneN/agohN/anightmare/; http://www.mercurynews.com/topN/astories/ci_20308252/policeN/arespondN/ashootingN/aeastN/aoakland; http://www.cbsnews.com/8301N/a504083_162N/a57408732N/a504083/gunN/ausedN/ainN/aoikosN/auniversityN/ashootingN/arampageN/awasN/aboughtN/alegallyN/apoliceN/asay/; http://berkeley.patch.com/articles/oneN/alN/agohN/ashowedN/aviolentN/atendenciesN/abeforeN/atheN/aoikosN/auniversityN/ashootingN/aoikosN/auniversityN/ashooting,http://berkeley.patch.com/articles/oneN/alN/agohN/ashowedN/aviolentN/atendenciesN/abeforeN/atheN/aoikosN/auniversityN/ashootingN/aoikosN/auniversityN/ashooting; http://blog.sfgate.com/eguillermo/2012/04/05/somethingN/astillN/adoesntN/acomputeN/ainN/atheN/aoneN/agohN/anightmare/,http://blog.sfgate.com/eguillermo/2012/04/05/somethingN/astillN/adoesntN/acomputeN/ainN/atheN/aoneN/agohN/anightmare/; http://www.mercurynews.com/topN/astories/ci_20308252/policeN/arespondN/ashootingN/aeastN/aoakland; http://www.cbsnews.com/8301N/a504083_162N/a57408732N/a504083/gunN/ausedN/ainN/aoikosN/auniversityN/ashootingN/arampageN/awasN/aboughtN/alegallyN/apoliceN/asay/; http://berkeley.patch.com/articles/oneN/alN/agohN/ashowedN/aviolentN/atendenciesN/abeforeN/atheN/aoikosN/auniversityN/ashootingN/aoikosN/auniversityN/ashooting,"One L. Goh, 43, a former student, opened fire in a nursing classroom. He fled the scene by car and was arrested nearby a few hours later.",,,,,,
Su Jung Health Sauna shooting,"Norcross, Georgia",2/21/2012,2012,Asian,Male,5,0,5,Other,33.9412127,-84.2135309,Mass,59,Yes,His sister worried about his homicidal tendencies; she said his mental health had been deteriorating and that he had threatened to commit suicide with his gun.,Yes,Unknown,One semiautomatic handgun,.45N/acaliber semiautomatic handgun,http://www.gwinnettdailypost.com/news/2012/feb/23/policeN/aidN/a4N/avictimsN/ashooterN/ainN/aspaN/akilling/; http://www.cbsnews.com/8301N/a504083_162N/a57479989N/a504083/shootingN/aspreesN/ainN/a2012N/acrimesiderN/areportsN/aonN/asomeN/aofN/atheN/acountrysN/aworstN/apublicN/ashootingsN/athisN/ayear/; http://chronicle.augusta.com/news/metro/2012N/a02N/a22/victimsN/akoreanN/aspaN/ashootingN/anearN/aatlantaN/awereN/a2N/amarriedN/acouplesN/agunmanN/awas; http://onlineathens.com/localN/anews/2012N/a02N/a23/massN/ashootingN/aspaN/ashocksN/agaN/akoreanN/acommunity,http://www.gwinnettdailypost.com/news/2012/feb/23/policeN/aidN/a4N/avictimsN/ashooterN/ainN/aspaN/akilling/,http://www.gwinnettdailypost.com/news/2012/feb/23/policeN/aidN/a4N/avictimsN/ashooterN/ainN/aspaN/akilling/; http://www.cbsnews.com/8301N/a504083_162N/a57479989N/a504083/shootingN/aspreesN/ainN/a2012N/acrimesiderN/areportsN/aonN/asomeN/aofN/atheN/acountrysN/aworstN/apublicN/ashootingsN/athisN/ayear/; http://chronicle.augusta.com/news/metro/2012N/a02N/a22/victimsN/akoreanN/aspaN/ashootingN/anearN/aatlantaN/awereN/a2N/amarriedN/acouplesN/agunmanN/awas; http://onlineathens.com/localN/anews/2012N/a02N/a23/massN/ashootingN/aspaN/ashocksN/agaN/akoreanN/acommunity,"Jeong Soo Paek, 59, returned to a Korean spa from which he'd been kicked out after an altercation. He gunned down two of his sisters and their husbands before committing suicide.",,,,,,
Seal Beach shooting,"Seal Beach, California",10/12/2011,2011,White,Male,8,1,9,Other,33.741176,-118.1046356,Mass,42,Yes,"He suffered from bipolar disorder, mood swings, and PTSD. After an assault on his elderly stepfather, he was sentenced in 2008 to a year of anger management therapy.",Yes,Unknown,"Two semiautomatic handguns, one revolver",".45N/acaliber Heckler & Koch, 9mm Springfield semiautomatic handguns; .44 Magnum Smith & Wesson revolver",http://laist.com/2011/10/13/seal_beach_shooter_suffered_from_ptsd.php; http://blogs.ocweekly.com/navelgazing/2011/10/hair_salon_seal_beach_shooting.php; http://latimesblogs.latimes.com/lanow/2011/10/sealN/abeachN/ashootingN/asuspectN/ahadN/abeenN/aorderedN/anotN/atoN/acarryN/agunsN/a.html; http://articles.latimes.com/2011/oct/12/local/laN/ameN/a1013N/asealN/abeachN/ashootingN/a20111013,http://laist.com/2011/10/13/seal_beach_shooter_suffered_from_ptsd.php,http://laist.com/2011/10/13/seal_beach_shooter_suffered_from_ptsd.php; http://blogs.ocweekly.com/navelgazing/2011/10/hair_salon_seal_beach_shooting.php; http://latimesblogs.latimes.com/lanow/2011/10/sealN/abeachN/ashootingN/asuspectN/ahadN/abeenN/aorderedN/anotN/atoN/acarryN/agunsN/a.html; http://articles.latimes.com/2011/oct/12/local/laN/ameN/a1013N/asealN/abeachN/ashootingN/a20111013; https://www.nydailynews.com/news/national/sealN/abeachN/ashootingN/ascottN/aevansN/adekraaiN/aarrestedN/adeadlyN/ahairN/asalonN/arampageN/aleftN/a8N/adeadN/aarticleN/a1.962942,"Scott Evans Dekraai, 42, opened fire inside a hair salon and was later arrested. Victims killed in the attack included his exN/awife, who Dekraai had a history of violently abusing, according to court records. The two had also been involved in a bitter custody battle.",,,,,,
IHOP shooting,"Carson City, Nevada",9/6/2011,2011,Latino,Male,5,7,12,Other,39.1637984,-119.7674034,Mass,32,Yes,He was diagnosed with paranoid schizophrenia as a teenager and feared demons were out to get him.,Yes,Purchased from an individual,"Two rifles (both assault), one revolver","AKN/a47 Norinco Arms variant, AKN/a47 Romarm Cugir variant rifles; .38N/acaliber Colt revolver",http://www.huffingtonpost.com/2011/11/03/eduardoN/asencionN/aihopN/ashooter_n_1073677.html; http://www.lasvegassun.com/news/2011/sep/06/reportN/asevenN/ashotN/ainsideN/acarsonN/acityN/aihop/; http://www.lasvegassun.com/news/2011/oct/23/nvN/agunN/alawsN/arampageN/a2ndN/aldN/awritethru/,http://www.huffingtonpost.com/2011/11/03/eduardoN/asencionN/aihopN/ashooter_n_1073677.html,http://www.huffingtonpost.com/2011/11/03/eduardoN/asencionN/aihopN/ashooter_n_1073677.html; http://www.lasvegassun.com/news/2011/sep/06/reportN/asevenN/ashotN/ainsideN/acarsonN/acityN/aihop/; http://www.lasvegassun.com/news/2011/oct/23/nvN/agunN/alawsN/arampageN/a2ndN/aldN/awritethru/,"Eduardo Sencion, 32, opened fire at an International House of Pancakes restaurant and later died from a selfN/ainflicted gunshot wound.",,,,,,
Tucson shooting,"Tucson, Arizona",1/8/2011,2011,White,Male,6,13,19,Other,32.335941,-110.975132,Mass,22,Yes,"His symptoms pointed to various possible mental illness diagnoses, such as schizophrenia and delusional disorder. He also experimented with pot and hallucinogens.",Yes,"Sportsmen's Warehouse in Tucson, Ariz.",One semiautomatic handgun,9mm Glock 19 semiautomatic handgun,"http://www.time.com/time/magazine/article/0,9171,2042358,00.html; http://www.csmonitor.com/USA/Politics/2011/0110/WhyN/aJaredN/aLoughnerN/awasN/aallowedN/atoN/abuyN/aaN/agun; http://www.nytimes.com/2011/01/09/us/politics/09giffords.html?ref=jaredleeloughner","http://www.time.com/time/magazine/article/0,9171,2042358,00.html","http://www.time.com/time/magazine/article/0,9171,2042358,00.html; http://www.csmonitor.com/USA/Politics/2011/0110/WhyN/aJaredN/aLoughnerN/awasN/aallowedN/atoN/abuyN/aaN/agun; http://www.nytimes.com/2011/01/09/us/politics/09giffords.html?ref=jaredleeloughner","Jared Loughner, 22, opened fire outside a Safeway during a constituent meeting with Congresswoman Gabrielle Giffords (DN/aAriz.) before he was subdued by bystanders and arrested.",,,,,,
Hartford Beer Distributor shooting,"Manchester, Connecticut",8/3/2010,2010,Black,Male,9,2,11,Workplace,41.798764,-72.570068,Mass,34,No,"He apparently was driven over the edge by unaddressed, ongoing racism against him at work",Yes,"Gun dealer in East Windsor, Conn.",Two semiautomatic handguns,Two 9mm Ruger SR9 semiautomatic handguns,http://www.cbsnews.com/8301N/a504083_162N/a20012557N/a504083.html; http://www.msnbc.msn.com/id/38535909/ns/us_newsN/acrime_and_courts/t/deadN/ashootingN/aconnN/abeerN/adistributor/#.UFGJAqRrND4; http://www.foxnews.com/us/2010/08/03/deadN/awoundedN/aconnN/aworkplaceN/ashooting/,http://www.cbsnews.com/8301N/a504083_162N/a20012557N/a504083.html,http://www.cbsnews.com/8301N/a504083_162N/a20012557N/a504083.html; http://www.msnbc.msn.com/id/38535909/ns/us_newsN/acrime_and_courts/t/deadN/ashootingN/aconnN/abeerN/adistributor/#.UFGJAqRrND4; http://www.foxnews.com/us/2010/08/03/deadN/awoundedN/aconnN/aworkplaceN/ashooting/,"Omar S. Thornton, 34, shot up his Hartford Beer Distributor workplace after facing disciplinary issues, then committed suicide.",,,,,,
